Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789419542,194230644,0,0,0,0,0.00,43.56
1789419543,193825085,19,0,0,0,0.00,6.06
1789419544,193891522,35,0,0,0,0.00,8.42
1789419545,195282941,72,3,3,0,0.00,16.33
1789419546,193801399,63,0,0,0,0.00,16.83
1789419547,195387817,65,0,0,0,0.00,18.63
1789419548,194136274,57,1,1,0,2.00,12.50
1789419549,193889718,42,0,0,0,0.00,11.88
1789419550,193798161,48,1,0,0,0.00,12.12
1789419551,193878602,54,0,0,0,0.00,12.24
1789419552,195480023,42,0,0,0,0.00,9.28
1789419553,193729490,41,0,0,0,0.00,12.87
1789419554,193930932,37,0,0,0,0.00,13.59
1789419555,193888378,47,0,0,0,0.00,13.73
1789419556,193880824,39,2,2,0,0.00,7.37
1789419557,193880271,52,1,1,0,0.00,12.24
1789419558,193878718,64,0,0,0,0.00,17.65
1789419559,194197162,37,0,0,0,0.00,12.87
1789419560,193882615,47,0,0,0,0.00,10.42
1789419561,193868065,31,0,0,0,0.00,5.21
1789419562,193923514,39,0,0,0,0.00,12.75
1789419563,193900965,36,1,1,0,0.00,8.16
1789419564,193817418,50,0,0,0,0.00,11.22
1789419565,193883870,29,0,1,0,0.00,8.25
1789419566,193884323,33,0,0,0,0.00,7.14
1789419567,193798778,46,1,1,0,0.00,12.87
1789419568,193899231,47,0,0,0,0.00,8.42
1789419569,193843687,41,0,0,0,0.00,11.11
1789419570,194661132,49,0,0,0,0.00,13.13
1789419571,193788601,56,0,0,0,0.00,12.37
1789419572,193799058,57,1,1,0,0.00,14.14
1789419573,193882515,57,0,0,0,0.00,15.00
1789419574,193899974,53,0,0,0,0.00,10.31
1789419575,193881433,42,0,0,0,0.00,10.20
1789419576,193880894,44,0,0,0,0.00,9.28
1789419577,193930354,50,0,0,0,0.00,13.27
1789419578,193874816,26,0,0,0,0.00,5.10
1789419579,193876279,36,0,0,0,0.00,7.29
1789419580,193928741,37,2,2,0,0.00,10.10
1789419581,195196188,40,1,1,0,0.00,7.29
1789419582,194480662,45,0,0,0,2.00,11.11
1789419583,193784136,50,0,0,0,0.00,12.24
1789419584,193889601,35,0,0,0,0.00,7.14
1789419585,193900067,30,0,0,0,0.00,10.00
1789419586,193690537,57,0,0,0,0.00,13.27
1789419587,193914002,43,1,2,0,0.00,11.00
1789419588,193928471,50,0,0,0,0.00,15.69
1789419589,193880940,40,0,0,0,0.00,9.18
1789419590,193850411,44,0,0,0,0.00,11.00
1789419591,194381874,69,1,1,0,0.00,21.43
1789419592,194248348,82,1,1,0,0.00,13.54
1789419593,195906797,66,0,0,0,2.00,16.50
1789419594,193888297,39,0,0,0,0.00,9.18
1789419595,193898770,91,1,1,0,0.00,19.00
1789419596,193881245,82,1,0,0,0.00,12.63
1789419597,193897719,59,0,0,0,0.00,10.42
1789419598,195851168,50,0,0,0,2.00,11.11
1789419599,193803672,44,0,0,0,0.00,12.00
1789419600,194579138,41,0,0,0,0.00,12.75
1789419601,194659615,122,0,0,0,0.00,44.00
1789419602,193685106,88,0,0,0,0.00,22.22
1789419603,193794583,49,2,2,0,0.00,13.86
1789419604,193799063,112,1,1,0,0.00,23.71
1789419605,193904541,87,0,0,0,0.00,19.59
1789419606,193809023,120,0,0,0,0.00,23.16
1789419607,196814464,101,0,1,0,0.00,21.88
1789419608,194195982,129,1,1,0,0.00,26.00
1789419609,193807470,131,0,0,0,0.00,25.00
1789419610,193801953,104,0,0,0,0.00,22.68
1789419611,193790437,121,0,0,0,0.00,26.26
1789419612,193811922,119,0,0,0,0.00,30.10
1789419613,193847407,106,0,1,0,0.00,20.43
1789419614,194538883,150,0,0,0,0.00,30.77
1789419615,195067363,142,1,1,0,0.00,31.07
1789419616,197612816,106,1,1,0,0.00,22.00
1789419617,193546359,121,0,0,0,0.00,22.68
1789419618,193962842,97,0,0,0,0.00,20.62
1789419619,194596323,103,0,0,0,0.00,27.62
1789419620,193798823,121,0,0,0,0.00,25.77
1789419621,193785314,105,0,0,0,0.00,24.49
1789419622,193802805,79,0,0,0,0.00,17.35
1789419623,193920295,83,0,0,0,0.00,22.00
1789419624,193928788,74,0,0,0,0.00,15.46
